subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Accounting,2019,91409,2,0.81046277665996,0.81046277665996,False,4
Accounting,2019,91405,2,0.789806547619048,0.789806547619048,False,2
Earth and Space Science,2019,91413,1,0.984441301272985,0.984441301272985,False,4
Earth and Space Science,2019,91414,1,0.970749542961609,0.970749542961609,False,4
Earth and Space Science,2019,91410,2,0.923128792987188,0.923128792987188,False,4
Earth and Space Science,2019,91415,1,0.905622489959839,0.905622489959839,False,4
Earth and Space Science,2019,91412,2,0.902220630372493,0.902220630372493,False,4
Earth and Space Science,2019,91411,2,0.895140186915888,0.895140186915888,False,4
Music Studies,2019,91420,1,0.952586206896552,0.952586206896552,False,4
Music Studies,2019,91423,1,0.938976377952756,0.938976377952756,False,4
Music Studies,2019,91421,1,0.90929203539823,0.90929203539823,False,4
Music Studies,2019,91425,2,0.84479271991911,0.84479271991911,False,6
Music Studies,2019,91425,1,0.833333333333333,0.833333333333333,False,6
Geography,2019,91429,1,0.960943969086393,0.960943969086393,False,4
Geography,2019,91427,1,0.949651432997676,0.949651432997676,False,4
Geography,2019,91426,1,0.946365767878077,0.946365767878077,False,4
Geography,2019,91431,1,0.920454545454546,0.920454545454546,False,3
Geography,2019,91430,1,0.909090909090909,0.909090909090909,False,5
Geography,2019,91432,1,0.9,0.9,False,3
History,2019,91438,1,0.949309478970496,0.949309478970496,False,6
History,2019,91436,1,0.94756446991404,0.94756446991404,False,4
History,2019,91435,1,0.934782608695652,0.934782608695652,False,5
History,2019,91439,1,0.926589595375723,0.926589595375723,False,6
History,2019,91437,1,0.88,0.88,False,3
Design (Practical Art),2019,91445,1,0.928571428571429,0.928571428571429,False,4
Design (Practical Art),2019,91455,1,0.928460743801653,0.928460743801653,False,14
Design (Practical Art),2019,91450,2,0.861261705273534,0.861261705273534,False,4
Design (Practical Art),2019,91440,1,0.853040540540541,0.853040540540541,False,2
Painting (Practical Art),2019,91456,1,0.913786008230453,0.913786008230453,False,14
Painting (Practical Art),2019,91446,1,0.875,0.875,False,4
Painting (Practical Art),2019,91451,2,0.849617672047579,0.849617672047579,False,4
Painting (Practical Art),2019,91446,2,0.840935224223841,0.840935224223841,False,2
Photography (Practical Art),2019,91457,1,0.936979785969085,0.936979785969085,False,14
Photography (Practical Art),2019,91442,1,0.881390593047035,0.881390593047035,False,4
Photography (Practical Art),2019,91452,2,0.87894952810833,0.87894952810833,False,4
Photography (Practical Art),2019,91447,2,0.870545454545455,0.870545454545455,False,2
Printmaking (Practical Art),2019,91448,2,0.877551020408163,0.877551020408163,False,4
Printmaking (Practical Art),2019,91453,2,0.875331564986737,0.875331564986737,False,4
Printmaking (Practical Art),2019,91443,1,0.875,0.875,False,4
Printmaking (Practical Art),2019,91453,1,0.875,0.875,False,4
Printmaking (Practical Art),2019,91458,1,0.852459016393443,0.852459016393443,False,8
Sculpture (Practical Art),2019,91855,1,0.928571428571429,0.928571428571429,False,4
Sculpture (Practical Art),2019,91454,1,0.884848484848485,0.884848484848485,False,4
Sculpture (Practical Art),2019,91449,1,0.856807511737089,0.856807511737089,False,4
Sculpture (Practical Art),2019,91460,1,0.848224513172967,0.848224513172967,False,4
Sculpture (Practical Art),2019,91858,1,0.833333333333333,0.833333333333333,False,4
Sculpture (Practical Art),2019,91444,2,0.823529411764706,0.823529411764706,False,4
Health Education,2019,91465,1,0.97752808988764,0.97752808988764,False,5
Health Education,2019,91462,1,0.965594614809275,0.965594614809275,False,5
Health Education,2019,91815,1,0.958333333333333,0.958333333333333,False,5
Health Education,2019,91461,2,0.904769183735861,0.904769183735861,False,5
Health Education,2019,91463,2,0.89987345776653,0.89987345776653,False,4
Home Economics,2019,91471,1,0.943292682926829,0.943292682926829,False,4
Home Economics,2019,91467,1,0.914876033057851,0.914876033057851,False,5
Home Economics,2019,91470,1,0.909090909090909,0.909090909090909,False,4
Home Economics,2019,91466,2,0.902061855670103,0.902061855670103,False,5
Home Economics,2019,91469,2,0.886057692307692,0.886057692307692,False,5
Home Economics,2019,91468,1,0.883636363636364,0.883636363636364,False,1
English,2019,91474,1,0.950963814677038,0.950963814677038,False,4
English,2019,91473,1,0.94224361347649,0.94224361347649,False,4
English,2019,91472,1,0.935533894550288,0.935533894550288,False,4
English,2019,91477,1,0.901586368977673,0.901586368977673,False,3
English,2019,91475,1,0.891982984293194,0.891982984293194,False,6
English,2019,91480,1,0.88890503523941,0.88890503523941,False,3
History of Art,2019,91484,1,0.942928039702233,0.942928039702233,False,4
History of Art,2019,91482,1,0.936247723132969,0.936247723132969,False,4
History of Art,2019,91483,1,0.927565392354125,0.927565392354125,False,4
History of Art,2019,91489,1,0.864963503649635,0.864963503649635,False,4
History of Art,2019,91487,1,0.859717868338558,0.859717868338558,False,4
History of Art,2019,91485,2,0.849704142011834,0.849704142011834,False,4
Media Studies,2019,91491,1,0.958333333333333,0.958333333333333,False,3
Media Studies,2019,91490,1,0.946017699115044,0.946017699115044,False,4
Media Studies,2019,91493,1,0.935332708528585,0.935332708528585,False,4
Media Studies,2019,91497,2,0.882891125343092,0.882891125343092,False,3
Media Studies,2019,91491,2,0.882295719844358,0.882295719844358,False,3
Media Studies,2019,91492,1,0.88034188034188,0.88034188034188,False,3
Physical Education,2019,91504,1,0.958333333333333,0.958333333333333,False,3
Physical Education,2019,91789,1,0.954545454545455,0.954545454545455,False,4
Physical Education,2019,91505,1,0.9375,0.9375,False,4
Physical Education,2019,91500,1,0.928571428571429,0.928571428571429,False,4
Physical Education,2019,91789,2,0.920527859237537,0.920527859237537,False,4
Physical Education,2019,91504,2,0.912974683544304,0.912974683544304,False,3
Latin,2019,91507,1,0.792682926829268,0.792682926829268,False,5
Latin,2019,91506,1,0.785714285714286,0.785714285714286,False,6
Latin,2019,91508,1,0.74390243902439,0.74390243902439,False,6
Latin,2019,91509,1,0.666666666666667,0.666666666666667,False,4
Latin,2019,91511,1,0.607142857142857,0.607142857142857,False,3
