"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,18715,6,0,0,0,0.5
2025,18741,7,0.01647585097006726,0.5164758509700673,1,1
2025,18750,8,0,0.5,1,1
2025,18862,5,8.894595008707151E-5,0.500088945950087,1,1
2025,18862,6,0.07821394595008707,0.578213945950087,1,1
2025,19046,4,0,0.5,1,1
2025,19054,4,0,0.5,1,1
2025,19055,4,0,0.5,1,1
2025,19070,3,0,0.5,1,1
2025,19075,3,0.02608506579936942,0.5260850657993694,1,1
2025,19103,3,0.05632504069839711,0.5538921382969877,0.9975670975985905,1
2025,19111,3,0.05682526587507397,0.556825265875074,1,1
2025,19115,3,0.003812371559073657,0.5038123715590737,1,1
2025,19131,3,0,0.5,1,1
2025,19149,3,0.09845336612185146,0.5984533661218514,1,1
2025,19157,3,0.09134026521837757,0.5913402652183776,1,1
2025,19207,3,0,0.5,1,1
2025,19359,4,0,0.5,1,1
2025,19428,3,0.00575127460105429,0.5057512746010543,1,1
2025,19491,4,0.005152467642132896,0.5051524676421328,1,1
2025,19522,4,2.034441787645558E-4,0.5001148813414222,0.9998271890990593,0.9999157519364016
2025,19522,5,0.002620849497056266,0.502532286659714,0.9998271890990593,0.9999157519364016
2025,19636,4,0.01565279129315333,0.5156527912931533,1,1
2025,19747,6,0.2995682042223605,0.7995682042223604,1,1
2025,19808,3,0.03398159785077004,0.5302342119941998,0.9962526141434299,1
2025,19851,4,0,0.5,1,1
2025,19851,5,0.06001571225922614,0.5600157122592262,1,1
2025,19873,4,0.08588798054213698,0.585887980542137,1,1
2025,19894,4,0,0.5,1,1
2025,19946,3,0.03125,0.53125,1,1
2025,19947,3,0.02000000000000002,0.52,1,1
2025,20046,5,0,0.5,1,1
2025,20057,4,0,0.5,1,1
2025,20121,2,0.05520257792497813,0.5552025779249781,1,1
2025,20149,4,0.04560458560763753,0.5456045856076375,1,1
2025,20150,4,0.0494468108216044,0.5494468108216044,1,1
2025,20182,4,0,0.5,1,1
2025,20183,4,0,0.5,1,1
2025,20184,4,0,0.5,1,1
2025,20186,4,0,0.5,1,1
2025,20305,4,0,0.5,1,1
2025,20305,5,0,0.5,1,1
2025,20306,4,0,0.5,1,1
2025,20306,5,0,0.5,1,1
2025,20388,3,0,0.5,1,1
2025,20533,5,0,0.5,1,1
2025,20555,5,0.03049809833657435,0.5304980983365744,1,1
2025,20557,5,0.0244876212087739,0.5244876212087739,1,1
2025,20560,4,0.06260412374552532,0.5626041237455253,1,1
2025,20644,4,0,0.5,1,1
2025,20673,4,0.05905039773404863,0.5590503977340486,1,1
2025,20751,3,0,0.5,1,1
2025,20793,3,0,0.5,1,1
2025,20802,4,0.06355591127032639,0.5595504448039169,0.99398595003093,0.9979914164973395
2025,20817,3,0.04708858407738631,0.5470885840773863,1,1
2025,20866,3,0,0.5,1,1
2025,20869,4,0,0.5,1,1
2025,20953,5,0,0.141069810079162,0.5857264159380272,0.9446566058588652
2025,20965,5,0,0.5,1,1
2025,21031,5,0.04617325748326195,0.546173257483262,1,1
2025,21045,2,0,0.5,1,1
2025,21047,2,0,0.5,1,1
2025,21110,2,0,0.5,1,1
2025,21110,3,0,0.5,1,1
2025,21110,4,0,0.5,1,1
2025,21290,5,0,0.5,1,1
2025,21291,5,0,0.5,1,1
2025,21292,5,0,0.5,1,1
2025,21293,5,0,0.5,1,1
2025,21313,5,0.2784128994338189,0.7784128994338189,1,1
2025,21332,4,0,0.5,1,1
2025,21337,4,0.01272915191466212,0.5127291519146622,1,1
2025,21380,4,0,0.5,1,1
2025,21414,3,0.04253096733813827,0.5425309673381382,1,1
2025,21414,4,0.07820434494257944,0.5782043449425794,1,1
2025,21464,5,0,0.5,1,1
2025,21560,3,0,0.5,1,1
2025,21563,5,0,0.5,1,1
2025,21644,4,0.04950207395818551,0.5495020739581855,1,1
2025,21684,3,0.01410658307210033,0.5141065830721003,1,1
2025,21705,2,0,0.5,1,1
2025,21709,5,0,0.5,1,1
2025,21710,3,0,0.5,1,1
2025,21710,4,0,0.5,1,1
2025,21840,4,0.1322463763586957,0.6105072463768115,0.9782608700181159,1
2025,21840,5,0.007246376358695683,0.4855072463768116,0.9782608700181159,1
2025,21842,4,0.1322463763586957,0.6105072463768115,0.9782608700181159,1
2025,21842,5,0.007246376358695683,0.4855072463768116,0.9782608700181159,1
2025,21853,6,0.001118568232662209,0.5011185682326622,1,1
2025,22145,3,0.0234375,0.5234375,1,1
2025,22145,4,0,0.5,1,1
2025,22175,3,0.06539621769092291,0.5653962176909229,1,1
2025,22179,3,0,0.5,1,1
2025,22186,3,0,0.5,1,1
2025,22196,3,0,0.5,1,1
